Date,Male_UK,Female_UK,Male_London,Female_London
Mar-2005,16539830.0,14730302.0,2532588.0,2135712.0
Jun-2005,16568455.0,14814443.0,2526222.0,2165624.0
Sep-2005,16686227.0,14824550.0,2539235.0,2181250.0
Dec-2005,16834046.0,14933173.0,2581390.0,2203988.0
Mar-2006,16732948.0,14886646.0,2584594.0,2173381.0
Jun-2006,16822358.0,14967175.0,2615650.0,2153223.0
Sep-2006,16913037.0,15008341.0,2601058.0,2150187.0
Dec-2006,17084379.0,15117881.0,2623873.0,2184953.0
Mar-2007,16936292.0,14976807.0,2606045.0,2177256.0
Jun-2007,17006679.0,15061161.0,2608475.0,2181540.0
Sep-2007,17149909.0,15042682.0,2629914.0,2209430.0
Dec-2007,17254816.0,15132458.0,2671719.0,2240101.0
Mar-2008,17168948.0,15026409.0,2691998.0,2216517.0
Jun-2008,17261552.0,15072102.0,2712870.0,2242168.0
Sep-2008,17263409.0,15026645.0,2717867.0,2258668.0
Dec-2008,17159269.0,15092986.0,2735807.0,2309754.0
Mar-2009,17016741.0,14818632.0,2668544.0,2241001.0
Jun-2009,16898005.0,14821736.0,2631551.0,2259053.0
Sep-2009,16828572.0,14753555.0,2578215.0,2230476.0
Dec-2009,16782467.0,14805642.0,2587723.0,2238952.0
Mar-2010,16602587.0,14813026.0,2587502.0,2227939.0
Jun-2010,16716101.0,14831515.0,2605385.0,2235804.0
Sep-2010,16738775.0,14745008.0,2592522.0,2215890.0
Dec-2010,16767131.0,14901494.0,2626347.0,2271821.0
Mar-2011,16744682.0,14831941.0,2580316.0,2276416.0
Jun-2011,16713753.0,14829715.0,2578789.0,2287601.0
Sep-2011,16819067.0,14935468.0,2627149.0,2324732.0
Dec-2011,16847860.0,15057219.0,2649900.0,2365763.0
Mar-2012,16930411.0,15163751.0,2724255.0,2388144.0
Jun-2012,16978919.0,15099845.0,2740958.0,2373108.0
Sep-2012,16977411.0,15026064.0,2743208.0,2388344.0
Dec-2012,16921062.0,15165410.0,2733385.0,2441786.0
Mar-2013,16956299.0,15169639.0,2778614.0,2453397.0
Jun-2013,17052831.0,15174974.0,2760690.0,2453700.0
Sep-2013,17115370.0,15316659.0,2771918.0,2500383.0
Dec-2013,17366145.0,15562156.0,2835872.0,2570314.0
Mar-2014,17431253.0,15657145.0,2890953.0,2541885.0
Jun-2014,17608791.0,15827128.0,2935646.0,2580827.0
Sep-2014,17672719.0,15867163.0,2945514.0,2572684.0
Dec-2014,17761846.0,16021389.0,2935348.0,2632560.0
Mar-2015,17811810.0,15955870.0,2963093.0,2605730.0
Jun-2015,17896360.0,15989662.0,2960892.0,2633039.0
Sep-2015,17995962.0,16050281.0,2970381.0,2657773.0
Dec-2015,18016131.0,16231246.0,2979752.0,2697870.0
Mar-2016,18029864.0,16306388.0,3036515.0,2661671.0
Jun-2016,18121325.0,16435163.0,3061601.0,2703423.0
Sep-2016,18139223.0,16413277.0,3053122.0,2709554.0
Dec-2016,18240147.0,16514417.0,3074913.0,2720484.0
Mar-2017,18324122.0,16493510.0,3084925.0,2727116.0
Jun-2017,18295989.0,16558978.0,3139338.0,2741491.0
Sep-2017,18325681.0,16588397.0,3131797.0,2749207.0
Dec-2017,18304369.0,16650941.0,3145666.0,2786441.0
Mar-2018,18260768.0,16657531.0,3116818.0,2811264.0
Jun-2018,18393766.0,16582448.0,3123040.0,2800334.0
Sep-2018,18428321.0,16594956.0,3102899.0,2803374.0
Dec-2018,18577537.0,16746567.0,3142515.0,2809661.0
Mar-2019,18599354.0,16816340.0,3212510.0,2810904.0
Jun-2019,18619447.0,16936063.0,3167686.0,2817694.0
Sep-2019,18576906.0,16988914.0,3179539.0,2858365.0
Dec-2019,18613050.0,17129040.0,3197503.0,2885624.0
Mar-2020,18525216.0,17068598.0,3157501.0,2901472.0
Jun-2020,18230991.0,16946933.0,3088804.0,2832832.0
Sep-2020,17928584.0,16651574.0,3015712.0,2774307.0
Dec-2020,17929791.0,16675141.0,3030041.0,2770123.0
Mar-2021,17925736.0,16776888.0,3031146.0,2839730.0
Jun-2021,18125473.0,16972162.0,3091391.0,2895822.0
Sep-2021,18212270.0,17041346.0,3111422.0,2912359.0
Dec-2021,18317842.0,17107973.0,3178456.0,2920425.0
Mar-2022,18447658.0,17247245.0,3192445.0,2998323.0
Jun-2022,18595536.0,17380652.0,3284341.0,3013781.0
Sep-2022,18559474.0,17385333.0,3263359.0,3022097.0
Dec-2022,18722914.0,17668405.0,3322431.0,3107220.0
Mar-2023,18886251.0,17822380.0,3412640.0,3181224.0
Jun-2023,18791165.0,17804667.0,3354860.0,3180334.0
Sep-2023,18993514.0,17738968.0,3403542.0,3122106.0
Dec-2023,19005926.0,17925527.0,3386804.0,3168419.0
